Order_ID,Product,Category,Quantity,Price,Customer_City,Payment_Method
O1001,Laptop,Electronics,4,59957.86,Mumbai,Net Banking
O1002,Smartphone,Electronics,5,28542.36,Bangalore,Cash
O1003,Headphones,Electronics,3,2182.07,Hyderabad,Net Banking
O1004,Keyboard,Electronics,3,1356.18,Bangalore,Net Banking
O1005,Mouse,Electronics,4,870.17,Bangalore,Net Banking
O1006,Smart Watch,Electronics,4,4215.06,Delhi,Card
O1007,Monitor,Electronics,5,11836.67,Chennai,Cash
O1008,Usb Cable,Electronics,3,489.99,Coimbatore,Net Banking
O1009,Shoes,Fashion,4,2433.18,Pune,Card
O1010,T-Shirt,Fashion,3,878.84,Delhi,Net Banking
O1011,Jeans,Fashion,1,2032.935,Mumbai,Cash
O1012,Jacket,Fashion,3,3168.32,Bangalore,Net Banking
O1013,Backpack,Fashion,1,1530.38,Bangalore,Card
O1014,Sunglasses,Fashion,1,993.51,Bangalore,Net Banking
O1015,Coffee Maker,Home,4,4446.14,Kochi,Net Banking
O1016,Table Lamp,Home,5,1279.97,Mumbai,Card
O1017,Bed Sheet,Home,1,1522.81,Coimbatore,Net Banking
O1018,Mixer Grinder,Home,2,3743.12,Pune,Card
O1019,Water Bottle,Home,4,655.88,Kochi,Card
O1020,Office Chair,Furniture,2,7424.63,Bangalore,Card
O1021,Laptop,Electronics,4,56076.9,Coimbatore,Cash
O1022,Smartphone,Electronics,4,25453.27,Coimbatore,Upi
O1023,Headphones,Electronics,5,2099.39,Hyderabad,Net Banking
O1024,Keyboard,Electronics,2,1639.58,Delhi,Net Banking
O1025,Mouse,Electronics,5,2032.935,Kochi,Upi
O1026,Smart Watch,Electronics,1,4064.07,Chennai,Net Banking
O1027,Monitor,Electronics,1,11276.92,Coimbatore,Cash
O1028,Usb Cable,Electronics,3,469.88,Coimbatore,Cash
O1029,Shoes,Fashion,3,2635.64,Hyderabad,Card
O1030,T-Shirt,Fashion,2,830.86,Kochi,Upi
O1031,Jeans,Fashion,4,1739.12,Coimbatore,Cash
O1032,Jacket,Fashion,5,3346.95,Coimbatore,Card
O1033,Backpack,Fashion,3,1417.15,Mumbai,Upi
O1034,Sunglasses,Fashion,3,1157.37,Bangalore,Cash
O1035,Coffee Maker,Home,3,4520.46,Kochi,Card
O1036,Table Lamp,Home,2,1185.44,Mumbai,Cash
O1037,Bed Sheet,Home,1,1540.59,Coimbatore,Net Banking
O1038,Mixer Grinder,Home,5,3609.46,Hyderabad,Cash
O1039,Water Bottle,Home,3,658.43,Hyderabad,Net Banking
O1040,Office Chair,Furniture,3,7792.18,Delhi,Card
O1041,Laptop,Electronics,2,58389.32,Chennai,Upi
O1042,Smartphone,Electronics,4,29700.56,Delhi,Net Banking
O1043,Headphones,Electronics,3,2122.71,Kochi,Net Banking
O1044,Keyboard,Electronics,1,1445.4,Chennai,Upi
O1045,Mouse,Electronics,1,823.63,Chennai,Net Banking
