Order_ID,Product,Category,Quantity,Price,Customer_City,Payment_Method,Total Sales,Discount %,Discount Amount,Net Sales,Profit,Profit Margin
O1001,Laptop,Electronics,4,59957.86,Mumbai,Net Banking,239831.44,10,23983.144,215848.296,21584.8296,10.0
O1002,Smartphone,Electronics,5,28542.36,Bangalore,Cash,142711.8,10,14271.18,128440.62,12844.062,10.0
O1003,Headphones,Electronics,3,2182.07,Hyderabad,Net Banking,6546.210000000001,0,0.0,6546.210000000001,654.6210000000001,10.0
O1004,Keyboard,Electronics,3,1356.18,Bangalore,Net Banking,4068.54,0,0.0,4068.54,406.854,10.0
O1005,Mouse,Electronics,4,870.17,Bangalore,Net Banking,3480.68,0,0.0,3480.68,348.068,10.0
O1006,Smart Watch,Electronics,4,4215.06,Delhi,Card,16860.24,0,0.0,16860.24,1686.0240000000003,10.0
O1007,Monitor,Electronics,5,11836.67,Chennai,Cash,59183.35,10,5918.335,53265.015,5326.5015,10.0
O1008,Usb Cable,Electronics,3,489.99,Coimbatore,Net Banking,1469.97,0,0.0,1469.97,146.997,10.0
O1009,Shoes,Fashion,4,2433.18,Pune,Card,9732.72,0,0.0,9732.72,973.272,10.0
O1010,T-Shirt,Fashion,3,878.84,Delhi,Net Banking,2636.52,0,0.0,2636.52,263.652,10.0
O1011,Jeans,Fashion,1,2032.935,Mumbai,Cash,2032.935,0,0.0,2032.935,203.2935,10.0
O1012,Jacket,Fashion,3,3168.32,Bangalore,Net Banking,9504.96,0,0.0,9504.96,950.496,10.0
O1013,Backpack,Fashion,1,1530.38,Bangalore,Card,1530.38,0,0.0,1530.38,153.038,10.0
O1014,Sunglasses,Fashion,1,993.51,Bangalore,Net Banking,993.51,0,0.0,993.51,99.351,10.0
O1015,Coffee Maker,Home,4,4446.14,Kochi,Net Banking,17784.56,0,0.0,17784.56,1778.456,10.0
O1016,Table Lamp,Home,5,1279.97,Mumbai,Card,6399.85,0,0.0,6399.85,639.9850000000001,10.000000000000002
O1017,Bed Sheet,Home,1,1522.81,Coimbatore,Net Banking,1522.81,0,0.0,1522.81,152.281,10.0
O1018,Mixer Grinder,Home,2,3743.12,Pune,Card,7486.24,0,0.0,7486.24,748.624,10.0
O1019,Water Bottle,Home,4,655.88,Kochi,Card,2623.52,0,0.0,2623.52,262.35200000000003,10.000000000000002
O1020,Office Chair,Furniture,2,7424.63,Bangalore,Card,14849.26,0,0.0,14849.26,1484.9260000000002,10.0
O1021,Laptop,Electronics,4,56076.9,Coimbatore,Cash,224307.6,10,22430.76,201876.84,20187.684,10.0
O1022,Smartphone,Electronics,4,25453.27,Coimbatore,Upi,101813.08,10,10181.308,91631.772,9163.1772,10.0
O1023,Headphones,Electronics,5,2099.39,Hyderabad,Net Banking,10496.95,0,0.0,10496.95,1049.695,10.0
O1024,Keyboard,Electronics,2,1639.58,Delhi,Net Banking,3279.16,0,0.0,3279.16,327.916,10.0
O1025,Mouse,Electronics,5,2032.935,Kochi,Upi,10164.675,0,0.0,10164.675,1016.4675,10.0
O1026,Smart Watch,Electronics,1,4064.07,Chennai,Net Banking,4064.07,0,0.0,4064.07,406.407,10.0
O1027,Monitor,Electronics,1,11276.92,Coimbatore,Cash,11276.92,0,0.0,11276.92,1127.692,10.0
O1028,Usb Cable,Electronics,3,469.88,Coimbatore,Cash,1409.64,0,0.0,1409.64,140.964,10.0
O1029,Shoes,Fashion,3,2635.64,Hyderabad,Card,7906.92,0,0.0,7906.92,790.692,10.0
O1030,T-Shirt,Fashion,2,830.86,Kochi,Upi,1661.72,0,0.0,1661.72,166.17200000000005,10.000000000000002
O1031,Jeans,Fashion,4,1739.12,Coimbatore,Cash,6956.48,0,0.0,6956.48,695.648,10.0
O1032,Jacket,Fashion,5,3346.95,Coimbatore,Card,16734.75,0,0.0,16734.75,1673.475,10.0
O1033,Backpack,Fashion,3,1417.15,Mumbai,Upi,4251.450000000001,0,0.0,4251.450000000001,425.1450000000001,10.0
O1034,Sunglasses,Fashion,3,1157.37,Bangalore,Cash,3472.11,0,0.0,3472.11,347.211,10.000000000000002
O1035,Coffee Maker,Home,3,4520.46,Kochi,Card,13561.38,0,0.0,13561.38,1356.138,10.0
O1036,Table Lamp,Home,2,1185.44,Mumbai,Cash,2370.88,0,0.0,2370.88,237.088,10.0
O1037,Bed Sheet,Home,1,1540.59,Coimbatore,Net Banking,1540.59,0,0.0,1540.59,154.059,10.0
O1038,Mixer Grinder,Home,5,3609.46,Hyderabad,Cash,18047.3,0,0.0,18047.3,1804.73,10.0
O1039,Water Bottle,Home,3,658.43,Hyderabad,Net Banking,1975.29,0,0.0,1975.29,197.529,10.0
O1040,Office Chair,Furniture,3,7792.18,Delhi,Card,23376.54,5,1168.8270000000002,22207.713,2220.7713,10.0
O1041,Laptop,Electronics,2,58389.32,Chennai,Upi,116778.64,10,11677.864,105100.776,10510.0776,10.0
O1042,Smartphone,Electronics,4,29700.56,Delhi,Net Banking,118802.24,10,11880.224000000002,106922.016,10692.2016,10.0
O1043,Headphones,Electronics,3,2122.71,Kochi,Net Banking,6368.13,0,0.0,6368.13,636.8130000000001,10.000000000000002
O1044,Keyboard,Electronics,1,1445.4,Chennai,Upi,1445.4,0,0.0,1445.4,144.54000000000002,10.0
O1045,Mouse,Electronics,1,823.63,Chennai,Net Banking,823.63,0,0.0,823.63,82.363,10.0
O1046,Smart Watch,Electronics,5,4824.66,Kochi,Card,24123.3,5,1206.165,22917.135,2291.7135,10.0
O1047,Monitor,Electronics,3,11801.79,Hyderabad,Upi,35405.37,5,1770.2685,33635.101500000004,3363.5101500000005,10.0
O1048,Usb Cable,Electronics,3,476.94,Coimbatore,Cash,1430.82,0,0.0,1430.82,143.082,10.0
O1049,Shoes,Fashion,3,2411.6,Coimbatore,Net Banking,7234.799999999999,0,0.0,7234.799999999999,723.48,10.000000000000002
O1050,T-Shirt,Fashion,1,882.69,Pune,Net Banking,882.69,0,0.0,882.69,88.269,10.0
O1051,Jeans,Fashion,2,1966.48,Pune,Cash,3932.96,0,0.0,3932.96,393.2960000000001,10.0
O1052,Jacket,Fashion,2,3335.85,Hyderabad,Upi,6671.7,0,0.0,6671.7,667.1700000000001,10.000000000000002
O1053,Backpack,Fashion,1,1334.7,Bangalore,Card,1334.7,0,0.0,1334.7,133.47,10.0
O1054,Sunglasses,Fashion,4,1001.33,Hyderabad,Net Banking,4005.32,0,0.0,4005.32,400.532,10.0
O1055,Coffee Maker,Home,1,4620.92,Pune,Card,4620.92,0,0.0,4620.92,462.092,10.0
O1056,Table Lamp,Home,5,1197.47,Coimbatore,Card,5987.35,0,0.0,5987.35,598.735,10.0
O1057,Bed Sheet,Home,4,1465.87,Coimbatore,Cash,5863.48,0,0.0,5863.48,586.348,10.0
O1058,Mixer Grinder,Home,1,3973.44,Coimbatore,Upi,3973.44,0,0.0,3973.44,397.3440000000001,10.0
O1059,Water Bottle,Home,4,767.68,Pune,Cash,3070.72,0,0.0,3070.72,307.072,10.0
O1060,Office Chair,Furniture,1,6976.08,Mumbai,Card,6976.08,0,0.0,6976.08,697.6080000000001,10.0
O1061,Laptop,Electronics,5,58941.95,Delhi,Cash,294709.75,10,29470.975,265238.775,26523.8775,10.0
O1062,Smartphone,Electronics,4,25292.89,Mumbai,Cash,101171.56,10,10117.156,91054.404,9105.4404,10.0
O1063,Headphones,Electronics,3,2133.41,Kochi,Net Banking,6400.23,0,0.0,6400.23,640.023,10.0
O1064,Keyboard,Electronics,1,1557.28,Coimbatore,Cash,1557.28,0,0.0,1557.28,155.728,10.0
O1065,Mouse,Electronics,2,854.03,Mumbai,Net Banking,1708.06,0,0.0,1708.06,170.806,10.0
O1066,Smart Watch,Electronics,1,4152.13,Kochi,Cash,4152.13,0,0.0,4152.13,415.213,10.0
O1067,Monitor,Electronics,2,11419.06,Delhi,Net Banking,22838.12,5,1141.906,21696.214,2169.6214,10.0
O1068,Usb Cable,Electronics,2,548.22,Delhi,Net Banking,1096.44,0,0.0,1096.44,109.644,10.0
O1069,Shoes,Fashion,1,2370.93,Coimbatore,Card,2370.93,0,0.0,2370.93,237.093,10.0
O1070,T-Shirt,Fashion,4,910.49,Coimbatore,Cash,3641.96,0,0.0,3641.96,364.196,10.0
O1071,Jeans,Fashion,1,1720.39,Mumbai,Net Banking,1720.39,0,0.0,1720.39,172.03900000000002,10.0
O1072,Jacket,Fashion,3,3428.05,Pune,Net Banking,10284.15,0,0.0,10284.15,1028.4150000000002,10.0
O1073,Backpack,Fashion,1,1439.77,Mumbai,Upi,1439.77,0,0.0,1439.77,143.977,10.0
O1074,Sunglasses,Fashion,4,1187.68,Delhi,Card,4750.72,0,0.0,4750.72,475.07200000000006,10.0
O1075,Coffee Maker,Home,3,4385.05,Chennai,Cash,13155.15,0,0.0,13155.15,1315.5150000000003,10.000000000000002
O1076,Table Lamp,Home,1,1081.21,Coimbatore,Card,1081.21,0,0.0,1081.21,108.121,10.0
O1077,Bed Sheet,Home,2,1595.4,Mumbai,Net Banking,3190.8,0,0.0,3190.8,319.08000000000004,10.0
O1078,Mixer Grinder,Home,5,3590.44,Chennai,Net Banking,17952.2,0,0.0,17952.2,1795.2200000000005,10.0
O1079,Water Bottle,Home,1,699.15,Coimbatore,Net Banking,699.15,0,0.0,699.15,69.915,10.0
O1080,Office Chair,Furniture,3,7736.42,Chennai,Net Banking,23209.26,5,1160.4630000000002,22048.797,2204.8797000000004,10.0
O1081,Laptop,Electronics,4,55096.95,Pune,Cash,220387.8,10,22038.78,198349.02,19834.902,10.000000000000002
O1082,Smartphone,Electronics,5,27925.76,Coimbatore,Cash,139628.8,10,13962.88,125665.91999999998,12566.592,10.0
O1083,Headphones,Electronics,3,2329.72,Pune,Upi,6989.16,0,0.0,6989.16,698.916,10.0
O1084,Keyboard,Electronics,4,1550.68,Chennai,Upi,6202.72,0,0.0,6202.72,620.272,10.0
O1085,Mouse,Electronics,4,835.59,Mumbai,Net Banking,3342.36,0,0.0,3342.36,334.23600000000005,10.0
O1086,Smart Watch,Electronics,3,4741.7,Coimbatore,Upi,14225.1,0,0.0,14225.1,1422.51,10.0
O1087,Monitor,Electronics,4,13057.1,Hyderabad,Card,52228.4,10,5222.84,47005.56,4700.556,10.0
