Product,Category,City,Sales,Price,Quantity,Profit,Salesperson
Laptop,Electronics,Coimbatore,75000,50000,3,12500,Arun
Sofa,Furniture,Coimbatore,60000,20000,3,12000,Ravi
Tablet,Electronics,Chennai,52500,17500,3,10500,Priya
Monitor,Electronics,Madurai,60000,15000,4,12000,Arun
Sofa,Furniture,Chennai,80000,20000,4,16000,Ravi
Tablet,Electronics,Coimbatore,70000,17500,4,14000,Priya
Laptop,Electronics,Chennai,100000,50000,4,17000,Arun
Phone,Electronics,Madurai,75000,15000,5,12500,Ravi
Table,Furniture,Chennai,50000,10000,5,12500,Arun
Monitor,Electronics,Coimbatore,75000,15000,5,15000,Arun
Desk,Furniture,Madurai,45000,9000,5,11250,Ravi
Printer,Electronics,Chennai,62500,12500,5,12500,Priya
Sofa,Furniture,Madurai,100000,20000,5,20000,Ravi
Tablet,Electronics,Chennai,87500,17500,5,17500,Priya
Laptop,Electronics,Coimbatore,150000,50000,6,25500,Arun
Phone,Electronics,Chennai,90000,15000,6,15000,Ravi
Table,Furniture,Coimbatore,60000,10000,6,15000,Arun
Monitor,Electronics,Chennai,90000,15000,6,18000,Arun
Desk,Furniture,Coimbatore,54000,9000,6,13500,Ravi
Printer,Electronics,Madurai,75000,12500,6,15000,Priya
Sofa,Furniture,Coimbatore,120000,20000,6,24000,Ravi
Tablet,Electronics,Madurai,105000,17500,6,21000,Priya
Laptop,Electronics,Chennai,200000,50000,8,34000,Arun
Phone,Electronics,Coimbatore,105000,15000,7,17500,Ravi
Table,Furniture,Madurai,70000,10000,7,17500,Arun
Monitor,Electronics,Madurai,105000,15000,7,21000,Arun
Desk,Furniture,Chennai,63000,9000,7,15750,Ravi
Printer,Electronics,Coimbatore,87500,12500,7,17500,Priya
Sofa,Furniture,Chennai,160000,20000,8,32000,Ravi
Tablet,Electronics,Coimbatore,122500,17500,7,24500,Priya
Laptop,Electronics,Madurai,250000,50000,10,42500,Arun
Phone,Electronics,Chennai,120000,15000,8,20000,Ravi
Table,Furniture,Chennai,80000,10000,8,20000,Arun
Monitor,Electronics,Chennai,120000,15000,8,24000,Arun
Desk,Furniture,Madurai,72000,9000,8,18000,Ravi
Printer,Electronics,Chennai,100000,12500,8,20000,Priya
Sofa,Furniture,Madurai,180000,20000,9,36000,Ravi
Tablet,Electronics,Chennai,140000,17500,8,28000,Priya
