Product,Category,City,Sales,Price,Quantity,Profit,Salesperson
Laptop,Electronics,Coimbatore,150000,50000,6,25500,Arun
Sofa,Furniture,Coimbatore,120000,20000,6,24000,Ravi
Tablet,Electronics,Madurai,105000,17500,6,21000,Priya
Laptop,Electronics,Chennai,200000,50000,8,34000,Arun
Phone,Electronics,Coimbatore,105000,15000,7,17500,Ravi
Monitor,Electronics,Madurai,105000,15000,7,21000,Arun
Sofa,Furniture,Chennai,160000,20000,8,32000,Ravi
Tablet,Electronics,Coimbatore,122500,17500,7,24500,Priya
Laptop,Electronics,Madurai,250000,50000,10,42500,Arun
Phone,Electronics,Chennai,120000,15000,8,20000,Ravi
Monitor,Electronics,Chennai,120000,15000,8,24000,Arun
Sofa,Furniture,Madurai,180000,20000,9,36000,Ravi
Tablet,Electronics,Chennai,140000,17500,8,28000,Priya
