Product,Category,City,Sales,Price,Quantity,Profit,Salesperson
Laptop,Electronics,Chennai,60000,50000,2,10000,Arun
Phone,Electronics,Madurai,45000,15000,3,7500,Ravi
Chair,Furniture,Chennai,12000,4000,3,3000,Priya
Table,Furniture,Coimbatore,20000,10000,2,5000,Arun
Headphones,Electronics,Madurai,10000,2500,4,2000,Ravi
Keyboard,Electronics,Chennai,8000,2000,4,1600,Priya
Monitor,Electronics,Coimbatore,30000,15000,2,6000,Arun
Desk,Furniture,Madurai,18000,9000,2,4500,Ravi
Printer,Electronics,Chennai,25000,12500,2,5000,Priya
Mouse,Electronics,Coimbatore,6000,1500,4,1200,Arun
Sofa,Furniture,Chennai,40000,20000,2,8000,Ravi
Notebook,Stationery,Madurai,5000,500,10,1500,Priya
Pen,Stationery,Coimbatore,3000,100,30,900,Arun
Bag,Stationery,Chennai,9000,1500,6,1800,Ravi
Tablet,Electronics,Madurai,35000,17500,2,7000,Priya
Laptop,Electronics,Coimbatore,75000,50000,3,12500,Arun
Phone,Electronics,Chennai,60000,20000,3,10000,Ravi
Chair,Furniture,Madurai,16000,4000,4,4000,Priya
Table,Furniture,Chennai,30000,10000,3,7500,Arun
Headphones,Electronics,Coimbatore,12500,2500,5,2500,Ravi
Keyboard,Electronics,Madurai,10000,2000,5,2000,Priya
Monitor,Electronics,Chennai,45000,15000,3,9000,Arun
Desk,Furniture,Coimbatore,27000,9000,3,6750,Ravi
Printer,Electronics,Madurai,37500,12500,3,7500,Priya
Mouse,Electronics,Chennai,7500,1500,5,1500,Arun
Sofa,Furniture,Coimbatore,60000,20000,3,12000,Ravi
Notebook,Stationery,Chennai,6000,500,12,1800,Priya
Pen,Stationery,Madurai,4000,100,40,1200,Arun
Bag,Stationery,Coimbatore,12000,1500,8,2400,Ravi
Tablet,Electronics,Chennai,52500,17500,3,10500,Priya
Laptop,Electronics,Madurai,50000,50000,1,8500,Arun
Phone,Electronics,Coimbatore,30000,15000,2,5000,Ravi
Chair,Furniture,Chennai,20000,4000,5,5000,Priya
Table,Furniture,Madurai,40000,10000,4,10000,Arun
Headphones,Electronics,Chennai,15000,2500,6,3000,Ravi
Keyboard,Electronics,Coimbatore,12000,2000,6,2400,Priya
Monitor,Electronics,Madurai,60000,15000,4,12000,Arun
Desk,Furniture,Chennai,36000,9000,4,9000,Ravi
Printer,Electronics,Coimbatore,50000,12500,4,10000,Priya
Mouse,Electronics,Madurai,9000,1500,6,1800,Arun
Sofa,Furniture,Chennai,80000,20000,4,16000,Ravi
Notebook,Stationery,Coimbatore,7500,500,15,2250,Priya
Pen,Stationery,Chennai,5000,100,50,1500,Arun
Bag,Stationery,Madurai,15000,1500,10,3000,Ravi
Tablet,Electronics,Coimbatore,70000,17500,4,14000,Priya
Laptop,Electronics,Chennai,100000,50000,4,17000,Arun
Phone,Electronics,Madurai,75000,15000,5,12500,Ravi
Chair,Furniture,Coimbatore,24000,4000,6,6000,Priya
Table,Furniture,Chennai,50000,10000,5,12500,Arun
Headphones,Electronics,Madurai,20000,2500,8,4000,Ravi
Keyboard,Electronics,Chennai,16000,2000,8,3200,Priya
Monitor,Electronics,Coimbatore,75000,15000,5,15000,Arun
Desk,Furniture,Madurai,45000,9000,5,11250,Ravi
Printer,Electronics,Chennai,62500,12500,5,12500,Priya
Mouse,Electronics,Coimbatore,12000,1500,8,2400,Arun
Sofa,Furniture,Madurai,100000,20000,5,20000,Ravi
Notebook,Stationery,Chennai,10000,500,20,3000,Priya
Pen,Stationery,Coimbatore,6000,100,60,1800,Arun
Bag,Stationery,Madurai,18000,1500,12,3600,Ravi
Tablet,Electronics,Chennai,87500,17500,5,17500,Priya
Laptop,Electronics,Coimbatore,150000,50000,6,25500,Arun
Phone,Electronics,Chennai,90000,15000,6,15000,Ravi
Chair,Furniture,Madurai,28000,4000,7,7000,Priya
Table,Furniture,Coimbatore,60000,10000,6,15000,Arun
Headphones,Electronics,Chennai,22500,2500,9,4500,Ravi
Keyboard,Electronics,Madurai,20000,2000,10,4000,Priya
Monitor,Electronics,Chennai,90000,15000,6,18000,Arun
Desk,Furniture,Coimbatore,54000,9000,6,13500,Ravi
Printer,Electronics,Madurai,75000,12500,6,15000,Priya
Mouse,Electronics,Chennai,15000,1500,10,3000,Arun
Sofa,Furniture,Coimbatore,120000,20000,6,24000,Ravi
Notebook,Stationery,Madurai,12500,500,25,3750,Priya
Pen,Stationery,Chennai,7000,100,70,2100,Arun
Bag,Stationery,Coimbatore,21000,1500,14,4200,Ravi
Tablet,Electronics,Madurai,105000,17500,6,21000,Priya
Laptop,Electronics,Chennai,200000,50000,8,34000,Arun
Phone,Electronics,Coimbatore,105000,15000,7,17500,Ravi
Chair,Furniture,Chennai,32000,4000,8,8000,Priya
Table,Furniture,Madurai,70000,10000,7,17500,Arun
Headphones,Electronics,Coimbatore,25000,2500,10,5000,Ravi
Keyboard,Electronics,Chennai,24000,2000,12,4800,Priya
Monitor,Electronics,Madurai,105000,15000,7,21000,Arun
Desk,Furniture,Chennai,63000,9000,7,15750,Ravi
Printer,Electronics,Coimbatore,87500,12500,7,17500,Priya
Mouse,Electronics,Madurai,18000,1500,12,3600,Arun
Sofa,Furniture,Chennai,160000,20000,8,32000,Ravi
Notebook,Stationery,Coimbatore,15000,500,30,4500,Priya
Pen,Stationery,Madurai,8000,100,80,2400,Arun
Bag,Stationery,Chennai,24000,1500,16,4800,Ravi
Tablet,Electronics,Coimbatore,122500,17500,7,24500,Priya
Laptop,Electronics,Madurai,250000,50000,10,42500,Arun
Phone,Electronics,Chennai,120000,15000,8,20000,Ravi
Chair,Furniture,Coimbatore,36000,4000,9,9000,Priya
Table,Furniture,Chennai,80000,10000,8,20000,Arun
Headphones,Electronics,Madurai,30000,2500,12,6000,Ravi
Keyboard,Electronics,Coimbatore,28000,2000,14,5600,Priya
Monitor,Electronics,Chennai,120000,15000,8,24000,Arun
Desk,Furniture,Madurai,72000,9000,8,18000,Ravi
Printer,Electronics,Chennai,100000,12500,8,20000,Priya
Mouse,Electronics,Coimbatore,21000,1500,14,4200,Arun
Sofa,Furniture,Madurai,180000,20000,9,36000,Ravi
Notebook,Stationery,Chennai,17500,500,35,5250,Priya
Pen,Stationery,Coimbatore,9000,100,90,2700,Arun
Bag,Stationery,Madurai,27000,1500,18,5400,Ravi
Tablet,Electronics,Chennai,140000,17500,8,28000,Priya
